ats_score,skill_score,keyword_score,semantic_score,experience_score,education_score,project_score,coding_score,aptitude_score,interview_score,selected
37.9,20.0,80.0,34.5,30.0,50.0,35.0,0.0,0.0,0.0,0
31.7,0.0,80.0,33.7,30.0,50.0,35.0,0.0,0.0,0.0,0
32.1,20.0,50.0,28.1,30.0,50.0,35.0,0.0,0.0,0.0,0
29.7,20.0,50.0,15.8,30.0,50.0,35.0,0.0,0.0,0.0,0
28.0,20.0,50.0,7.5,30.0,50.0,35.0,0.0,0.0,0.0,0
20.7,0.0,50.0,1.1,30.0,50.0,35.0,0.0,0.0,0.0,0
25.3,0.0,50.0,24.2,30.0,50.0,35.0,0.0,0.0,0.0,0
34.1,20.0,50.0,38.2,30.0,50.0,35.0,0.0,0.0,0.0,0
29.4,20.0,50.0,14.4,30.0,50.0,35.0,0.0,0.0,0.0,0
27.4,20.0,50.0,4.7,30.0,50.0,35.0,0.0,0.0,0.0,0
66.4,100.0,100.0,49.6,30.0,40.0,30.0,0.0,0.0,0.0,1
34.8,20.0,100.0,11.5,30.0,40.0,30.0,0.0,0.0,0.0,0
45.3,40.0,100.0,34.0,30.0,40.0,30.0,0.0,0.0,0.0,0
46.9,40.0,100.0,41.9,30.0,40.0,30.0,0.0,0.0,0.0,0
36.9,20.0,100.0,22.0,30.0,40.0,30.0,0.0,0.0,0.0,0
40.0,20.0,100.0,37.6,30.0,40.0,30.0,0.0,0.0,0.0,0
39.5,20.0,100.0,35.0,30.0,40.0,30.0,0.0,0.0,0.0,0
45.1,20.0,100.0,62.9,30.0,40.0,30.0,0.0,0.0,0.0,0
28.6,0.0,100.0,10.4,30.0,40.0,30.0,0.0,0.0,0.0,0
36.5,20.0,100.0,19.9,30.0,40.0,30.0,0.0,0.0,0.0,0
39.2,20.0,100.0,33.7,30.0,40.0,30.0,0.0,0.0,0.0,0
29.3,0.0,100.0,13.9,30.0,40.0,30.0,0.0,0.0,0.0,0
33.3,0.0,100.0,34.2,30.0,40.0,30.0,0.0,0.0,0.0,0
46.0,40.0,80.0,52.4,30.0,40.0,30.0,0.0,0.0,0.0,0
33.8,0.0,80.0,51.6,30.0,40.0,30.0,0.0,0.0,0.0,0
38.7,20.0,80.0,45.8,30.0,40.0,30.0,0.0,0.0,0.0,0
27.6,0.0,80.0,20.3,30.0,40.0,30.0,0.0,0.0,0.0,0
35.4,20.0,80.0,29.4,30.0,40.0,30.0,0.0,0.0,0.0,0
31.5,0.0,80.0,40.1,30.0,40.0,30.0,0.0,0.0,0.0,0
34.4,20.0,80.0,24.6,30.0,40.0,30.0,0.0,0.0,0.0,0
31.9,0.0,80.0,42.0,30.0,40.0,30.0,0.0,0.0,0.0,0
66.2,60.0,100.0,51.2,100.0,50.0,30.0,0.0,0.0,0.0,1
66.8,60.0,100.0,54.1,100.0,50.0,30.0,0.0,0.0,0.0,1
84.0,100.0,100.0,80.0,100.0,50.0,30.0,0.0,0.0,0.0,1
47.1,20.0,100.0,15.5,100.0,50.0,30.0,0.0,0.0,0.0,0
70.3,60.0,100.0,71.6,100.0,50.0,30.0,0.0,0.0,0.0,1
46.9,20.0,100.0,14.4,100.0,50.0,30.0,0.0,0.0,0.0,0
48.1,20.0,100.0,20.4,100.0,50.0,30.0,0.0,0.0,0.0,0
43.5,0.0,100.0,27.5,100.0,50.0,30.0,0.0,0.0,0.0,0
70.8,60.0,100.0,74.2,100.0,50.0,30.0,0.0,0.0,0.0,1
47.4,20.0,100.0,17.0,100.0,50.0,30.0,0.0,0.0,0.0,0
22.3,0.0,25.0,5.1,30.0,100.0,30.0,0.0,0.0,0.0,0
21.2,0.0,25.0,0.0,30.0,100.0,30.0,0.0,0.0,0.0,0
24.4,0.0,25.0,15.6,30.0,100.0,30.0,0.0,0.0,0.0,0
